accelX,accelY,accelZ,gryoX,gyroY,gyroZ
0,0,0,0,0,0
-1308,-2876,-10972,3892,6274,2170
172,-3392,-8948,-4769,-3080,-4404
-11104,-2924,-6372,-6651,-5101,3809
-20376,-4984,-4268,6537,5365,26672
-19872,228,-10272,-8251,-12900,22036
-11124,3156,-11452,-14936,-16106,24179
1772,7732,-9432,-18497,-18986,24092
5140,13460,-3612,-15190,-13307,17964
7136,13072,4196,-13392,-6029,13854
6708,11344,8540,-9763,689,15228
5896,7920,11120,-7835,12519,16267
132,5380,12872,-1771,4866,7185
6392,10220,10544,2655,-7286,7215
15996,14864,8800,-14,-6696,2150
1692,10752,8100,-22568,25492,-9118
-6656,6408,32767,-2171,12622,10374
6188,3688,9596,32767,7111,7938
6132,14532,-8516,32767,12344,1144
4480,15052,-17528,32767,14771,6776
4,1784,-32768,32767,-9444,-11816
-6744,-13812,-32560,32767,-27250,-32768
-516,-2828,-32768,-2471,16931,3811
-11716,2656,-11556,17067,-7413,-1809
-17776,-4476,-19132,11911,14582,28111
-15464,-2344,-17712,-15600,-15787,21277
-12204,2408,-15572,-13693,-20524,25726
-2440,6648,-8344,-17600,-24850,23779
564,14692,-1876,-12262,-18903,23127
8000,13372,1508,-15370,-1881,22876
8200,11272,1172,-15223,-3248,12404
5648,1872,11748,-12249,8899,6886
1316,4744,15400,3012,2418,4577
7216,9920,12344,4654,-3660,7534
12476,16716,8516,-3308,665,7344
13144,7248,10680,-23568,21720,3493
-7428,3624,24180,11918,17662,4972
9628,4620,6088,31741,14942,11709
14160,6612,-13276,32767,14169,4349
7592,5700,-25616,32767,8825,-14357
-14020,3812,-32768,32767,-4789,-14595
-32768,5108,-24232,8477,-32768,-32768
4520,-24272,5160,-28896,-17189,3602
-10924,-6204,-6764,16031,14336,21778
-17940,-7956,-16216,-7681,-3208,27306
-16556,-4040,-21860,-17809,-10619,29540
-4004,2372,-11016,-18753,-27927,25235
2060,10336,-2904,-15797,-24594,25903
6664,12224,1932,-15219,-10904,20375
10696,12908,4708,-10872,-3389,16610
11204,8500,6944,-12033,-883,8282
5192,3276,15112,-10601,5253,3428
2152,4340,15344,610,-1109,4689
6992,9788,12708,9214,-2614,5146
10444,16840,6008,3740,456,6185
17588,13504,4912,-18834,18460,2350
-3500,6932,19472,-7825,28304,16720
-8768,15028,18044,32767,10536,17148
300,15524,-592,32767,8869,3642
12996,13808,-10992,32767,6950,-7868
-3792,4732,-32768,32767,-10906,-19130
3408,-20888,-30864,32767,-8100,-19802
-32768,7924,-22928,20035,-28192,-32768
9236,-28736,20572,3866,-15400,6964
