accelX,accelY,accelZ,gryoX,gyroY,gyroZ
0,0,0,0,0,0
8524,-9212,-4008,1736,1071,-1642
8556,-9712,-3352,-478,68,-1656
8212,-10100,-2268,538,744,142
9164,-9972,-3424,412,976,265
10648,-12492,-4116,-1441,3936,2707
14144,-14040,3580,574,-72,-5866
-1524,-14224,-1844,6576,7051,-5168
3908,-6024,-7788,9981,-1668,8828
11812,-1960,-10484,-2640,-6739,4837
20352,-2780,-1136,-6353,-9556,-5345
23452,-15676,2712,-5250,-4550,-15011
7464,-24176,2368,-243,15773,-10183
10060,-17108,-7888,-2687,12937,4965
-696,-11408,-10208,4634,2091,3669
5392,-1608,-3908,5765,-5760,9962
9532,768,-3268,-21,-8207,2226
19420,-2712,-1196,498,-7513,-3700
24496,-16132,-3464,-8621,2613,-17444
8556,-16288,1972,3627,674,-6815
13648,-14576,-6260,-3985,10746,1580
5240,-12064,-3328,9576,3058,9083
5880,-3848,-4136,4810,-1408,10278
11492,-6152,-3280,6087,-7865,8734
16508,-1384,-1012,1560,-5164,3115
15780,-6340,-1604,-2132,-3804,-3869
15756,-14972,-3332,-4533,-12325,-14866
8580,-17068,2828,-4457,12557,-2349
13576,-8040,-4924,343,3347,3647
13332,-8484,-3904,-3941,4630,233
13356,-10152,-1520,847,-3593,-1587
13436,-8960,-3928,2545,-749,988
14604,-9404,-5124,-420,-1761,666
18600,-11272,-5104,-5984,4981,3186
16428,-13672,-852,679,3258,-1137
8404,-13568,-1436,7524,9004,460
3244,-7852,-2836,8089,2499,8928
10624,-1360,-6416,6049,-6077,7944
16288,144,-4196,-3277,-4443,1709
19468,-6772,-424,-1487,-9222,-9475
14632,-24040,-5092,-10365,7774,-18159
11940,-19108,-1192,2843,3283,950
10900,-13224,-164,6083,5793,2877
6844,-6908,-2128,6603,-735,7868
11104,-2524,-2880,2548,-2874,8719
19180,1336,-3248,-954,-4510,282
21648,-5700,-3232,-4501,-4357,-8512
18288,-19576,-5200,-11990,9457,-18063
14692,-17948,-780,-1144,1970,-3778
13976,-14212,-864,2230,8359,7708
7568,-9456,-3008,5933,4950,8359
9524,-5204,-4012,4588,-2289,8018
14244,-2764,-3452,2913,-6523,9742
15392,-2172,-3748,-2082,-7560,1592
17912,-9096,-4616,-4402,-11966,-11432
13128,-19024,-1056,-5721,-3043,-18840
11704,-13008,3632,-2463,4165,3787
15656,-6424,-6936,2496,3000,5074
12404,-10132,-3252,-1204,772,1313
14504,-9584,-1976,657,-7778,1494
15012,-8628,-4856,2183,-1854,755
15580,-7552,-6192,-1632,2169,2843
15656,-11608,-3944,-4292,10323,4471
16228,-12640,-1560,4034,4098,122
6800,-13720,-740,7748,5245,-3219
3284,-8032,-1432,6255,942,5914
10568,-5000,-8632,4082,-6790,10573
23108,-1132,-4700,-4982,-5794,4712
29128,-16252,1864,-7657,-5135,-13974
14624,-14236,-4368,-7729,9348,-11552
13804,-15444,-1064,3321,-1773,-3168
8656,-13980,-3280,558,5959,-2591
6480,-7772,-3400,8715,-2660,6817
10332,-4456,-6252,4611,-4757,11682
19504,-292,-5672,680,-10097,5830
24648,-6048,-6632,-6081,-7991,-9680
5108,-27592,13120,-32768,32767,-5588
20396,-4744,-17260,8679,2377,4654
16904,-13448,-6124,-6296,11308,-7133
17008,-14768,-4584,4391,4098,1334
8144,-8128,-1812,1943,2313,6780
10980,-6896,-4744,7805,-6864,8848
14552,-6284,-5340,5031,-7364,7097
18604,-4868,-3216,1571,-8571,7585
29188,-12420,-8280,-9699,-19181,-8762
8724,-16236,7632,-6173,-4346,-4330
16688,-5804,-9168,1399,6794,2891
15092,-8276,-5572,-2262,7386,-108
13040,-10300,-3440,793,-1466,-3751
13580,-10156,-4032,812,2099,3858
18196,-9340,-7276,1079,-640,7133
22584,-6792,-6272,-4201,7031,-2033
12272,-12212,-348,1512,5687,-8167
7920,-12900,-1660,4703,671,-5495
8928,-7868,-4232,8706,-2698,6375
12900,-4428,-8012,2876,-3590,10950
14828,312,-4740,-3741,-4522,4033
28960,-11868,-7932,-1394,-11753,-11906
-1060,-10804,-7792,4098,-2546,5532
