accelX,accelY,accelZ,gryoX,gyroY,gyroZ
0,0,0,0,0,0
5548,10688,14084,3246,2018,1334
5732,12880,13084,520,4807,5992
5644,11232,15172,-1305,-3810,427
6008,13732,17028,301,-561,-418
9168,20576,15452,-1074,-984,-4713
3784,6348,10760,-1147,-21,-7660
-2944,-16156,19088,5422,-3241,-868
6376,6232,14428,11289,1056,10111
9124,20276,12608,7580,1499,2443
4732,29356,8664,666,1670,119
6140,19412,9456,-7029,-6271,-2612
4496,4008,16548,-11096,1113,-6969
-148,-10672,21896,3080,3517,4565
6168,6640,16524,15280,-1530,8119
7444,17832,13636,8478,1930,5917
10420,29928,6828,-372,3065,-1575
8108,18980,10992,-6706,-3224,-6759
2892,3092,14364,-11856,959,-9295
2424,2616,14636,-3775,2538,1321
4476,7524,14016,-6607,3189,7672
6100,9012,10004,-3845,-847,9299
7676,8372,8136,-8562,-1027,3360
5572,6732,8604,-22684,1819,-5351
6204,-2524,15656,-30540,10435,-8561
5560,-11320,10108,-11685,7100,-13144
676,-15144,6296,-15193,10652,-9359
2144,-10676,3940,-2866,2215,-4834
8820,1296,2356,1090,-214,-5227
9788,-3652,-1280,4277,-6907,-6661
1028,-32768,6376,-5271,-4892,-12847
13996,-18312,-300,3809,-3061,9856
11376,-10604,2968,9787,-2631,7436
7948,4028,1680,1256,3254,3315
11488,8032,1032,-7042,3167,-4546
16092,-7652,-564,-4649,-4203,-11833
4540,-32768,3788,3369,2264,-7412
16868,-17528,972,9527,-7063,11019
9572,-9604,1284,12647,2464,11237
8184,8672,4124,1854,6773,5513
11880,10440,896,-3872,444,-5711
24876,-7760,748,-11774,3027,-21443
9628,-27556,7040,6945,-4680,-3978
10884,-15116,5528,3577,-69,10624
8072,-12516,5216,7274,381,9354
6600,-7880,10876,22111,-3360,13197
7020,-3316,15988,20194,-1176,9611
5732,1528,10276,23136,295,11395
3424,4144,10340,23352,2806,5748
5152,9464,6168,11680,1583,4864
7300,13092,8684,6495,-222,5381
6452,27356,9484,1591,-4576,1266
2684,16812,15728,-2388,-4454,-6826
4340,-9264,15508,-7960,-10113,-12447
7120,-2280,15552,5284,9095,13565
7168,13660,13924,9543,2940,5473
6792,21340,13028,3086,3794,535
7164,28340,9220,-5771,1822,-941
4348,11896,12840,-5028,-12986,-6704
5952,-8292,18096,-9812,-1151,-9161
5772,-360,17732,7073,2956,7734
6088,11124,15772,14371,-1357,6700
6980,18948,11908,4517,2093,5374
7840,22996,11464,364,2406,292
5508,14876,13904,-1138,-5356,-4990
2756,3828,14152,-13206,5004,-6301
1456,528,15304,695,1339,2240
3656,9364,14492,3901,-2272,2292
4680,9564,15196,1642,-3962,2094
4836,7552,14264,-1055,2957,2358
4476,8428,11268,-2027,653,5978
5600,8880,10860,-12642,3522,7984
6952,8180,10760,-17563,2960,-1878
5228,4192,10600,-23205,4855,-9390
9040,-464,7692,-18464,7012,-16135
13236,-3676,8868,-22738,11866,-11230
20456,-14588,9204,-16216,4979,-12579
7412,-32768,10024,-10542,-1350,-13584
12224,-17960,3472,-680,7957,12448
9668,-5228,1456,3311,5338,3689
10860,6008,2508,1607,680,1816
11008,4216,2736,1575,213,-7387
13708,-22852,1900,-13386,-2826,-14128
9004,-24544,4620,11227,5281,10551
11136,-12564,3536,7322,2472,11830
8464,-248,2416,1316,6249,5603
9524,7372,2648,-881,1195,-3367
12176,-2496,4316,-3978,654,-16944
10080,-30332,4640,-10302,2769,-17087
5324,-23852,4688,9141,3158,11397
8404,-15788,3652,9743,-3701,18057
4832,-13616,8304,17001,-5355,17596
6008,-3196,6900,13989,-1303,13907
4596,620,9144,11416,-3495,9165
-468,-640,15376,16047,-6866,7361
2828,6628,10404,16833,-2057,7789
4584,9648,9768,11773,-784,5003
5300,14064,9952,10415,-1072,1546
0,0,0,0,0,0
9036,-9024,-2876,-85,-2600,-907
7236,-8580,-2644,-318,65,-1527
-7020,-22552,11552,13738,-16950,12743
-21552,-32768,16704,21986,4457,13957
3136,-16856,6596,18538,3349,16988
11744,-4900,8108,15191,5787,7667
5096,5472,5128,8131,921,2191
2244,17432,9524,5020,5152,2448
-1488,15644,10060,1718,4631,-15439
-2952,-12448,4124,367,-4405,-19693
5088,-9272,9956,2633,-1600,15661
-116,12776,7332,4763,-943,17428
-40,27832,7404,-197,3395,-4184
676,12312,4536,-3223,2252,-19828
7844,-13584,5916,586,-8156,-12264
-4476,-3164,5292,4470,-75,9455
4084,2532,4840,-3593,1960,2028
2048,3604,-896,-4450,-4727,-3078
8108,5504,2800,-18002,-6314,-12114
6680,-9368,24892,-19294,6372,-30226
4688,-16180,21588,787,-604,-18572
10836,-14932,5308,4109,-1313,-7448
19596,-7468,7364,1209,2224,-933
13656,3748,6076,-2205,-1224,-11919
23932,3688,-1568,-8509,379,-16519
32767,-27812,-688,-1735,3644,-9955
18228,-18664,6216,-3098,-2641,8704
15428,-64,2968,283,-2291,11168
11956,9640,-476,-2111,614,-2256
21636,4132,1564,-3848,534,-14109
1704,-30480,-4380,-250,13540,-16720
14772,-19480,4964,-355,-4572,10684
16056,-19776,3716,-569,-3210,10907
9828,-22220,2468,9562,-2963,17988
10120,-18976,2068,19657,926,27350
13680,-580,-1792,20119,2768,23583
1348,2312,1292,15861,3106,3849
-3552,1588,736,6777,-1765,7122
3312,7024,5800,-1082,1755,3621
-1436,4364,14020,-3444,1195,-297
-4952,10820,14680,-94,2216,-1140
-5132,12008,10800,-3460,-319,-18130
-13256,-11064,940,-4950,-9318,-8493
10968,-10216,14472,835,135,15060
-1164,7328,14664,1899,1763,13969
-3168,21568,11488,3052,1263,3084
1872,15788,15816,-3470,-4604,-15884
7984,-6384,7812,-1718,-1066,-19433
-5056,-13152,3060,1326,1662,1965
2340,-1576,5836,-4779,2241,2977
656,-2168,620,-18065,3669,5190
352,7176,28,-5894,-9500,-172
2768,1292,396,-23224,-9995,-21165
4660,-19588,12572,-20033,-349,-21468
9648,-14904,8096,-7130,71,-18139
8608,-18348,792,-7967,2082,-8939
7884,-8684,-3628,-1155,2798,565
12584,2020,-2824,-1597,817,-4248
13144,7044,-3116,-1133,1140,-24503
30744,-15656,-10028,-869,2909,-7002
3876,-28596,-7336,-2392,1589,19647
18404,-12860,716,2023,-3931,4628
8796,3184,3212,5531,-3208,195
9168,10236,1216,-1325,-136,-8510
24960,-21320,-312,304,6797,-6892
14076,-15680,6704,1170,-6937,14791
10196,-20404,5788,462,-2587,841
17804,-27412,3968,146,-2354,4538
13312,-14936,-532,1915,1265,18057
14140,-1044,-5180,13856,-3544,27123
11108,2536,-984,17949,5,21115
9496,6836,3140,17756,2673,12365
472,7824,992,9393,2932,8079
-456,9880,4900,2226,-2689,4969
-264,16916,16972,-3181,-1617,-4944
-3256,8096,17452,-5506,-4949,-14696
-1816,-27864,8624,-5140,1006,-12803
4092,-11988,10004,1881,1411,13885
568,5876,14484,5013,739,14021
-1528,24660,16716,3886,4619,-1768
-132,9584,10252,-1799,-2272,-19431
9948,-8912,5724,1935,-3418,-6847
7164,-9924,7508,758,402,12879
9044,-1948,6912,-14506,1051,9816
10828,3220,-1964,-16297,-3951,-1046
2232,2216,-4944,-13142,-10834,-13731
-1028,-16832,5572,-18913,-2682,-19697
5516,-7820,-2176,-2726,-2959,-11428
10656,-10760,504,1266,286,-10496
8904,-15304,-7528,8636,3473,-9071
12336,-13068,568,-2198,-577,115
11552,-3876,3880,-1304,-1441,-904
13312,8608,5080,-1295,-2228,-3366
32767,-32768,-5660,6501,4110,-8440
6744,-19912,2220,11342,-3339,6508
11612,-9444,160,-1639,-2945,9276
10524,3744,416,-6622,-79,939
4520,16892,10128,2896,-1348,1086
4956,17656,12404,579,-1328,1813
5040,18940,12016,3593,-2613,-119
5356,19864,11644,2006,-3,-1198
2896,23108,8132,1291,-6344,-2013
7420,18300,7200,-5058,-4458,-4074
9216,9992,11288,-8586,-11996,-5514
12088,-4828,30008,-626,7482,6128
4632,17468,3716,7381,2186,4120
2196,30096,6708,-5094,-1397,1035
7044,15680,11620,-9858,-16,-4424
4928,5688,15220,-6847,127,-891
6688,5612,11772,-3661,2911,4846
4504,1972,12564,-4969,10764,9452
5820,9000,5956,-12745,8776,10012
4796,7384,13008,-14449,14505,-7477
